overlay_borrow_ratio,hyper_borrow_ratio,hyper_short_leverage,funding_weight,borrow_weight,start_equity,end_equity,total_pnl,total_return,annualized_return,funding_pnl,borrow_interest,gross_carry_pnl,setup_cost,close_cost,operation_cost,net_carry_pnl,directional_pnl,max_drawdown,annualized_vol,sharpe,funding_events,min_ltv,max_ltv,min_health_factor,carry_entries,carry_exits,carry_time_share,spot_time_share,long_perp_time_share,short_perp_time_share,edge_apr_mean,edge_apr_median,edge_apr_q75,edge_apr_positive_share
0.4,0.45,3.75,1.6875,0.8500000000000001,9575599.0,11055656.706168987,1480057.7061689869,0.15456554792749644,0.15456554792749655,752712.4107800318,341312.3284103066,411400.0823697252,81185.93822500003,195844.14710625,277030.08533125004,134369.99703847518,1068657.6237992616,-0.14829641379325653,0.2420554481484568,0.7148253896357878,1095,0.0,0.8403599385709922,0.9519730335555702,20,20,0.7451204200433741,0.25487957995662597,0.0,0.7451204200433741,0.03216988518430021,0.032838096010061726,0.06689556362577087,0.7647327546825035
0.3,0.45,3.25,1.4625000000000001,0.75,9575599.0,10951085.050948225,1375486.050948225,0.14364490941488098,0.14364490941488106,646917.0608778304,294458.10894397687,352458.9519338535,76550.405625,176600.7040125,253151.10963750002,99307.84229635348,1023027.0990143714,-0.15433762523875605,0.23176026653307294,0.6950733108862299,1095,0.0,0.7887762630204156,1.0142293036768197,21,21,0.730510215728798,0.2694897842712019,0.0,0.730510215728798,0.027194241106512744,0.027772279789100105,0.057204954983998725,0.7555961626313386
0.35,0.45,3.5,1.575,0.8,9575599.0,10948956.928722164,1373357.9287221637,0.1434226651222721,0.14342266512227209,701096.6278419134,319194.8368859213,381901.79095599207,73696.59360000001,173961.06323749997,247657.6568375,134244.13411849207,991456.1377661716,-0.14496162683131264,0.23462166598126924,0.6885971038805283,1095,0.0,0.8134111608106173,0.983512445541991,19,19,0.7405547311950691,0.25944526880493096,0.0,0.7405547311950691,0.029682063145406473,0.03030150411241104,0.06204453996986496,0.7610781178620375
0.25,0.45,4.0,1.8,0.7,9575599.0,10934719.141191345,1359120.1411913447,0.1419357829407168,0.14193578294071685,823115.5910749492,296252.68115004874,526862.9099249005,63190.20610000001,175772.18342500002,238962.38952500004,287900.5203999005,832257.2312664442,-0.21983678707162246,0.30085292951551906,0.5914834552828525,1095,0.0,0.8616290131978006,0.9284738416954251,20,19,0.7957995662595594,0.20420043374044058,0.0,0.7957995662595594,0.04495259802140579,0.04579625281710966,0.08199858606839881,0.8081315669255368
0.2,0.45,4.0,1.8,0.65,9575599.0,10917521.924703754,1341922.9247037545,0.14013984135130914,0.14013984135130908,826265.4862090442,277830.834293026,548434.6519160182,58718.297625000014,171806.64899999998,230524.94662499998,317909.70529101824,793488.2727877363,-0.22436225906907814,0.3105024149338752,0.5774978932301211,1095,0.0,0.8632019650118672,0.92678194956264,20,19,0.8049309439561694,0.19506905604383062,0.0,0.8049309439561694,0.047526320720958734,0.048433576523060407,0.08448188520088726,0.8163544997715853
0.5,0.45,4.0,1.8,0.95,9575599.0,10798795.17633009,1223196.1763300896,0.12774095660543947,0.1277409566054395,791746.9816902534,369040.8944557903,422706.0872344631,123230.85692499999,294555.22124999994,417786.0781749999,4920.009059463162,800490.0890956265,-0.1762436429095342,0.2505937246186258,0.6050824730457692,1095,0.0,0.8692143023457786,0.9203714180047572,27,27,0.721378838032188,0.2786211619678119,0.0,0.721378838032188,0.032083984523641,0.03276929668036311,0.06931739924567491,0.7428049337597076
0.2,0.4,4.0,1.6,0.6000000000000001,9575599.0,10751178.965105621,1175579.9651056211,0.12276829523726099,0.12276829523726107,731707.8934101413,254880.6329000402,476827.26051010116,54233.2482,154422.6948,208655.943,268171.31751010113,698752.7045955199,-0.17367767298213566,0.24998498228780153,0.5881287759156102,1095,0.0,0.7467870030085996,1.0712559227423883,20,19,0.7985389795685424,0.20146102043145758,0.0,0.7985389795685424,0.04110174166327312,0.041865731938474954,0.07401743916970846,0.8117862037460027
0.25,0.45,3.0,1.35,0.7,9575599.0,10668646.455677908,1093047.455677908,0.11414925120380541,0.11414925120380537,596389.3714204342,274126.95956901915,322262.41185141506,71429.1753,160312.24800000002,231741.42330000002,90520.98855141504,770785.0438264929,-0.1595101595958277,0.2304008942332234,0.5844181627270151,1095,0.0,0.7681614269734253,1.0414477633327925,21,21,0.7286839401894761,0.2713160598105239,0.0,0.7286839401894761,0.024706419067619,0.02533548046982677,0.05247141852330382,0.7519415258108726
0.3,0.45,4.0,1.8,0.75,9575599.0,10614372.392725565,1038773.3927255645,0.10848129633723849,0.10848129633723858,823971.887210622,315369.6490454552,508602.23816516675,63196.45837500002,167558.99895,230755.45732500002,277846.7808401667,530171.1545603978,-0.22053863645104688,0.2927553942170837,0.4980935776737317,1095,0.0,0.8885752300483628,0.9003176916786867,19,18,0.7903207396415934,0.2096792603584066,0.0,0.7903207396415934,0.042378875321852826,0.04363443404132759,0.07912819032501982,0.7989949748743719
0.2,0.45,3.75,1.6875,0.65,9575599.0,10611196.961757142,1035597.9617571421,0.10814967938372755,0.10814967938372755,770906.574722165,275410.02723959484,495496.54748257017,58676.61995000001,161953.3569125,220629.9768625,274866.57062007015,540101.4142745719,-0.21385860024611936,0.2853436866575696,0.502476245669223,1095,0.0,0.8459316767385802,0.9457028528407094,20,19,0.7967127040292205,0.2032872959707796,0.0,0.7967127040292205,0.04246477598251204,0.043259660919458966,0.07716887064763125,0.8099588853357698
0.45,0.45,4.0,1.8,0.9,9575599.0,10564460.075728696,988861.0757286958,0.10326884780040349,0.10326884780040357,807226.5399910526,362919.7087439747,444306.8312470779,78576.42195000002,193319.29799999998,271895.71995,172411.1112970779,544554.2444816179,-0.17221865696020533,0.2554128351662435,0.5125241746646011,1095,0.0,0.8942803306197978,0.894574075497719,19,19,0.751512384431001,0.24848761556899898,0.0,0.751512384431001,0.03465770722319396,0.0353232098548954,0.07169414556154133,0.7665600730927364
0.2,0.45,3.5,1.575,0.65,9575599.0,10492213.647225294,916614.6472252943,0.09572400089282083,0.09572400089282085,719602.595327609,273123.6986826722,446478.89664493676,52714.85115000001,141603.11709999997,194317.96824999998,252160.92839493678,470135.7505803575,-0.17885883792980217,0.25095787337216097,0.4896842327595664,1095,0.0,0.8051763411148584,0.993571170872096,18,18,0.7889510329871019,0.21104896701289808,0.0,0.7889510329871019,0.03740323124406534,0.03852314453916301,0.0696122479483505,0.8017359524897213
0.25,0.45,3.75,1.6875,0.7,9575599.0,10480114.559359297,904515.5593592972,0.09446046762811362,0.09446046762811355,772068.8625107456,294772.54077915294,477296.3217315927,58983.361150000004,154566.78274999998,213550.1439,263746.17783159274,427219.23762770445,-0.21353279735005093,0.2740210108364098,0.466341833619015,1095,0.0,0.8587985629567373,0.9315339294999504,19,18,0.7912338774112544,0.20876612258874558,0.0,0.7912338774112544,0.039891053282959076,0.041102042271905746,0.07437021913668515,0.8008222932846049
0.4,0.4,4.0,1.6,0.8,9575599.0,10463020.002841484,887421.0028414838,0.09267524703587565,0.0926752470358756,716067.1528247504,321399.92560816015,394667.22721659025,64538.5872,158264.81900000002,222803.40620000003,171863.82101659023,492753.77562489355,-0.14388445133964112,0.23465481593257614,0.49509352662208383,1095,0.0,0.8085956427255498,0.989369664797381,17,17,0.746033557813035,0.25396644218696496,0.0,0.746033557813035,0.0308068508650613,0.031398408759907015,0.06372812938803674,0.7665600730927364
0.4,0.45,4.0,1.8,0.8500000000000001,9575599.0,10424224.188118681,848625.1881186813,0.08862371827795643,0.08862371827795634,816337.4366260888,350108.81706568383,466228.619560405,90285.22350000001,230794.0844,321079.3079,145149.31166040496,382396.56855827634,-0.22068368500233182,0.27217735094898726,0.44811156013317255,1095,0.0,0.8949764994616556,0.8938782196864549,23,23,0.767948864284899,0.23205113571510103,0.0,0.767948864284899,0.03723142992274691,0.03750191723873975,0.07432313549112668,0.7761534947464596
0.35,0.45,3.75,1.6875,0.8,9575599.0,10410579.01399986,834980.0139998607,0.0871987239649301,0.08719872396493011,761074.9254389346,325970.1065394931,435104.8188994415,84992.07239999999,213652.75937500002,298644.831775,136459.98712444148,399875.1951004192,-0.20459176860618633,0.25746800300341577,0.4535072496366173,1095,0.0,0.8673596022177991,0.9223394748319341,23,23,0.760643762127611,0.239356237872389,0.0,0.760643762127611,0.03474360788385316,0.03495531269528447,0.06955176899164865,0.7752398355413431
0.45,0.45,3.75,1.6875,0.9,9575599.0,10388617.1854676,813018.1854676008,0.08490520389038857,0.08490520389038858,741390.8979522313,347993.36744350404,393397.5305087273,116673.71310000001,273783.57705,390457.29015,2940.2403587272856,419620.6549588735,-0.177954358794567,0.24675630004226431,0.45371645382222986,1095,0.0,0.8649801539912447,0.9248767111113366,27,27,0.7186394247232051,0.28136057527679487,0.0,0.7186394247232051,0.02959616248474727,0.030272401224890923,0.06456047037909991,0.7391502969392416
0.3,0.45,3.5,1.575,0.75,9575599.0,10381352.128306376,805753.1283063758,0.08414649864790451,0.08414649864790458,709414.2746392952,305146.98518283817,404267.289456457,76303.33012500002,188067.08625000005,264370.4163750001,139896.87308145693,401485.8388499188,-0.184018537877794,0.24409972176876513,0.45309441365428854,1095,0.0,0.8317421593583971,0.9618365391230344,22,22,0.75973062435795,0.24026937564205,0.0,0.75973062435795,0.032255785844959424,0.032408708151829196,0.0647804024921706,0.7752398355413431
0.55,0.45,4.0,1.8,1.0,9575599.0,10374603.991055768,799004.991055768,0.08344177644195083,0.08344177644195083,783482.4346519292,379771.44141687226,403710.9932350569,125646.67750000002,291544.942125,417191.61962500005,-13480.626389943121,395293.99782071105,-0.21158280288960196,0.2579512567985991,0.43976334951604185,1095,0.0,0.8147185733411746,0.9819341625160043,26,26,0.7076817714872732,0.2923182285127269,0.0,0.7076817714872732,0.02951026182408805,0.03037087949831422,0.0668895136718039,0.7263590680676107
0.3,0.4,4.0,1.6,0.7,9575599.0,10314586.397191055,738987.3971910551,0.07717401252820373,0.07717401252820366,730076.4167252423,291678.2740056998,438398.1427195425,58263.54520000001,155573.2388,213836.78399999999,224561.3587195425,300589.2544715126,-0.1859461197942931,0.23904815324144957,0.4304709771748624,1095,0.0,0.7911261544679259,1.0112167262856355,18,18,0.782559068599475,0.21744093140052506,0.0,0.782559068599475,0.03595429626416721,0.03686724453579335,0.06864300705812665,0.7907720420283234
0.25,0.45,3.25,1.4625000000000001,0.7,9575599.0,10307548.65670889,731949.6567088906,0.07643904644596025,0.07643904644596033,657913.6927095186,283552.47819086176,374361.21451865684,64232.03465,154601.9929,218834.02755,155527.18696865684,357588.44219023373,-0.1623600284488219,0.23443453783954865,0.4314857655190776,1095,0.0,0.7891058030604838,1.013805749364995,20,20,0.755164935509645,0.24483506449035497,0.0,0.755164935509645,0.0297679638060657,0.02995051287325198,0.059989358649482655,0.7743261763362266
0.35,0.4,3.75,1.5,0.75,9575599.0,10304127.303356938,728528.3033569381,0.07608174729924864,0.07608174729924855,670144.0656280036,300600.71957997885,369543.3460480247,60508.80562500001,146394.95757500004,206903.76320000004,162639.58284802467,358984.95730891335,-0.14141742445323024,0.23100062326758306,0.4330082232062719,1095,0.0,0.785949553076507,1.0178770340519874,17,17,0.744207282273713,0.255792717726287,0.0,0.744207282273713,0.028881422685994966,0.02943600821241283,0.05974512130128443,0.7665600730927364
0.25,0.4,4.0,1.6,0.65,9575599.0,10242084.571850825,666485.5718508251,0.06960249399027936,0.06960249399027929,732035.6622324107,273717.35929492745,458318.3029374833,54770.26392500001,147586.3474,202356.611325,255961.6916124833,208167.2689133418,-0.20504674096036102,0.2530736437779159,0.39237680710109285,1095,0.0,0.7905265985784516,1.0119836592956946,19,18,0.7912338774112544,0.20876612258874558,0.0,0.7912338774112544,0.03852801896372017,0.03949054662249634,0.07154662405529033,0.8035632708999543
