ts,borrow_apr,stable_borrow_apr,utilization_rate,liquidity_rate
2025-02-24 00:00:00+00:00,0.0626541852874218,0.0,0.6595928370833333,0.03827970461371866
2025-02-24 06:00:00+00:00,0.06363638856998886,0.0,0.6534839706944444,0.038345026808146256
2025-02-24 12:00:00+00:00,0.06322332393128004,0.0,0.6334958436111111,0.0372393177800352
2025-02-24 18:00:00+00:00,0.06492350423613816,0.0,0.649385085,0.03889235925544668
2025-02-25 00:00:00+00:00,0.06018528899390377,0.0,0.6188608225,0.03453594533592108
2025-02-25 06:00:00+00:00,0.05854204883104524,0.0,0.6072079061111111,0.03302745589573344
2025-02-25 12:00:00+00:00,0.06162259233398004,0.0,0.6114950330555556,0.03493416656699376
2025-02-25 18:00:00+00:00,0.06264495796653673,0.0,0.624445342638889,0.03621832920966732
2025-02-26 00:00:00+00:00,0.06273308073385932,0.0,0.6172791593055555,0.035859063036886143
2025-02-26 06:00:00+00:00,0.06963223296256764,0.0,0.674691375,0.043195441408723084
2025-02-26 12:00:00+00:00,0.07166707607006484,0.0,0.6854635280555557,0.0451649908483998
2025-02-26 18:00:00+00:00,0.07067142429104976,0.0,0.7119820474999999,0.0463164092810658
2025-02-27 00:00:00+00:00,0.06788188456185558,0.0,0.7043156065277778,0.04387599694971756
2025-02-27 06:00:00+00:00,0.0699630290937651,0.0,0.7028877709722222,0.04518699365931636
2025-02-27 12:00:00+00:00,0.074009489288835,0.0,0.7136865727777777,0.04841625181613466
2025-02-27 18:00:00+00:00,0.0754768706049147,0.0,0.71366642,0.04977679371370722
2025-02-28 00:00:00+00:00,0.06565251935562054,0.0,0.6555913997222222,0.04034032504399404
2025-02-28 06:00:00+00:00,0.06212115793053265,0.0,0.6358611486111111,0.03667943910428118
2025-02-28 12:00:00+00:00,0.06240782102301642,0.0,0.6204495059722223,0.036140070175928934
2025-02-28 18:00:00+00:00,0.060606744130263124,0.0,0.5889335902777778,0.0331551258776025
2025-03-01 00:00:00+00:00,0.058566415720432134,0.0,0.5878619709722223,0.03213773717162448
2025-03-01 06:00:00+00:00,0.05669928598440096,0.0,0.5861957056944445,0.030880385279476136
2025-03-01 12:00:00+00:00,0.05859360401311656,0.0,0.5872431631944445,0.03203060127332196
2025-03-01 18:00:00+00:00,0.06183624555861143,0.0,0.5883195783333334,0.03381009387203832
2025-03-02 00:00:00+00:00,0.060525425167147796,0.0,0.5888955877777778,0.03311175288212058
